 21:33:51 up 17 min,  1 user,  load average: 0.19, 0.46, 0.34
 21:34:01 up 18 min,  1 user,  load average: 0.16, 0.45, 0.33
 21:34:11 up 18 min,  1 user,  load average: 0.14, 0.43, 0.33
 21:34:21 up 18 min,  1 user,  load average: 0.11, 0.42, 0.33
 21:34:31 up 18 min,  1 user,  load average: 0.10, 0.40, 0.32
 21:34:41 up 18 min,  1 user,  load average: 0.08, 0.39, 0.32
 21:34:51 up 18 min,  1 user,  load average: 0.07, 0.38, 0.31
 21:35:01 up 19 min,  1 user,  load average: 0.06, 0.36, 0.31
 21:35:11 up 19 min,  1 user,  load average: 0.05, 0.35, 0.31
 21:35:21 up 19 min,  1 user,  load average: 0.04, 0.34, 0.30
 21:35:31 up 19 min,  1 user,  load average: 0.03, 0.33, 0.30
 21:35:41 up 19 min,  1 user,  load average: 0.03, 0.32, 0.29
 21:35:51 up 19 min,  1 user,  load average: 0.02, 0.31, 0.29
 21:36:01 up 20 min,  1 user,  load average: 0.02, 0.30, 0.29
 21:36:11 up 20 min,  1 user,  load average: 0.02, 0.29, 0.28
 21:36:21 up 20 min,  1 user,  load average: 0.01, 0.28, 0.28
 21:36:31 up 20 min,  1 user,  load average: 0.09, 0.28, 0.28
 21:36:41 up 20 min,  1 user,  load average: 0.08, 0.27, 0.28
 21:36:51 up 20 min,  1 user,  load average: 0.06, 0.26, 0.27
 21:37:01 up 21 min,  1 user,  load average: 0.05, 0.25, 0.27
 21:37:11 up 21 min,  1 user,  load average: 0.05, 0.25, 0.27
 21:37:21 up 21 min,  1 user,  load average: 0.04, 0.24, 0.26
 21:37:31 up 21 min,  1 user,  load average: 0.03, 0.23, 0.26
 21:37:41 up 21 min,  1 user,  load average: 0.03, 0.22, 0.26
 21:37:51 up 21 min,  1 user,  load average: 0.02, 0.21, 0.26
 21:38:01 up 22 min,  1 user,  load average: 0.02, 0.21, 0.25
 21:38:11 up 22 min,  1 user,  load average: 0.02, 0.20, 0.25
 21:38:21 up 22 min,  1 user,  load average: 0.01, 0.19, 0.25
 21:38:31 up 22 min,  1 user,  load average: 0.01, 0.18, 0.24
 21:38:41 up 22 min,  1 user,  load average: 0.01, 0.18, 0.24
 21:38:51 up 22 min,  1 user,  load average: 0.01, 0.17, 0.24
 21:39:01 up 23 min,  1 user,  load average: 0.00, 0.17, 0.23
 21:39:11 up 23 min,  1 user,  load average: 0.00, 0.16, 0.23
 21:39:21 up 23 min,  1 user,  load average: 0.00, 0.15, 0.23
 21:39:31 up 23 min,  1 user,  load average: 0.00, 0.15, 0.23
 21:39:41 up 23 min,  1 user,  load average: 0.00, 0.14, 0.22
 21:39:51 up 23 min,  1 user,  load average: 0.00, 0.14, 0.22
 21:40:01 up 24 min,  1 user,  load average: 0.00, 0.13, 0.22
 21:40:11 up 24 min,  1 user,  load average: 0.00, 0.13, 0.21
 21:40:21 up 24 min,  1 user,  load average: 0.08, 0.14, 0.22
 21:40:31 up 24 min,  1 user,  load average: 0.07, 0.14, 0.21
 21:40:41 up 24 min,  1 user,  load average: 0.06, 0.13, 0.21
 21:40:51 up 24 min,  1 user,  load average: 0.05, 0.13, 0.21
 21:41:02 up 25 min,  1 user,  load average: 0.04, 0.12, 0.21
 21:41:12 up 25 min,  1 user,  load average: 0.03, 0.12, 0.20
 21:41:22 up 25 min,  1 user,  load average: 0.03, 0.11, 0.20
 21:41:32 up 25 min,  1 user,  load average: 0.02, 0.11, 0.20
 21:41:42 up 25 min,  1 user,  load average: 0.02, 0.10, 0.19
 21:41:52 up 25 min,  1 user,  load average: 0.02, 0.10, 0.19
 21:42:02 up 26 min,  1 user,  load average: 0.01, 0.10, 0.19
 21:42:12 up 26 min,  1 user,  load average: 0.01, 0.09, 0.18
 21:42:22 up 26 min,  1 user,  load average: 0.01, 0.09, 0.18
 21:42:32 up 26 min,  1 user,  load average: 0.01, 0.09, 0.18
 21:42:42 up 26 min,  1 user,  load average: 0.00, 0.08, 0.18
 21:42:52 up 26 min,  1 user,  load average: 0.08, 0.10, 0.18
 21:43:02 up 27 min,  1 user,  load average: 0.07, 0.09, 0.18
 21:43:12 up 27 min,  1 user,  load average: 0.06, 0.09, 0.18
 21:43:22 up 27 min,  1 user,  load average: 0.05, 0.09, 0.18
 21:43:32 up 27 min,  1 user,  load average: 0.04, 0.08, 0.17
 21:43:42 up 27 min,  1 user,  load average: 0.04, 0.08, 0.17
 21:43:52 up 27 min,  1 user,  load average: 0.03, 0.08, 0.17
